order_item_id,order_id,product_id,quantity,unit_price
1,1,20,2,277.83
2,1,22,3,373.88
3,1,14,1,955.7
4,1,11,3,523.95
5,2,6,3,109.59
6,2,88,4,777.55
7,3,49,4,1232.22
8,3,34,2,792.08
9,3,25,4,624.58
10,3,66,3,57.77
11,3,97,2,960.5
12,4,3,3,529.32
13,4,65,2,192.03
14,4,76,3,1420.86
15,4,14,3,955.7
16,5,24,1,1458.23
17,6,31,4,1462.02
18,6,18,3,1086.85
19,6,75,4,882.53
20,6,40,1,583.25
21,6,89,4,594.16
22,7,13,1,858.62
23,7,21,4,949.61
24,7,46,2,19.33
25,7,71,2,858.21
26,8,84,4,1171.33
27,8,70,3,864.43
28,8,11,1,523.95
29,8,96,1,314.66
30,8,17,2,818.73
31,9,36,1,713.4
32,9,31,2,1462.02
33,9,90,1,550.88
34,10,76,2,1420.86
35,10,6,2,109.59
36,11,36,2,713.4
37,12,42,4,147.54
38,12,44,4,539.43
39,13,33,3,1381.39
40,14,66,3,57.77
41,14,1,3,822.54
42,14,80,3,886.4
43,14,74,4,1039.11
44,15,80,3,886.4
45,16,59,4,445.2
46,16,23,1,1193.2
47,17,77,4,110.23
48,17,79,3,829.66
49,17,56,2,76.91
50,17,63,4,424.48
51,18,85,3,1224.78
52,18,19,4,1185.56
53,18,54,3,1449.81
54,18,8,1,1075.83
55,18,32,2,271.93
56,19,87,2,1336.78
57,19,53,2,771.22
58,19,9,4,16.58
59,20,54,4,1449.81
60,21,28,3,48.98
61,22,28,1,48.98
62,22,96,1,314.66
63,23,71,2,858.21
64,23,10,3,687.59
65,23,75,4,882.53
66,24,78,3,209.31
67,24,34,3,792.08
68,24,57,1,1421.61
69,24,16,2,875.71
70,25,36,4,713.4
71,26,96,2,314.66
72,26,43,3,1120.02
73,26,1,4,822.54
74,26,21,2,949.61
75,26,12,3,293.4
76,27,7,4,392.6
77,28,74,2,1039.11
78,28,79,4,829.66
79,28,89,2,594.16
80,28,17,2,818.73
81,28,78,1,209.31
82,29,77,2,110.23
83,30,19,2,1185.56
84,30,83,4,496.83
85,30,6,2,109.59
86,30,59,2,445.2
87,31,82,2,1021.18
88,31,32,3,271.93
89,31,77,2,110.23
90,32,16,2,875.71
91,32,62,2,885.44
92,32,98,3,149.52
93,33,67,1,555.08
94,34,22,1,373.88
95,34,1,1,822.54
96,34,91,3,379.54
97,35,51,3,433.53
98,35,94,2,663.29
99,35,11,2,523.95
100,36,89,2,594.16
101,36,37,2,802.02
102,36,93,2,987.33
103,37,52,4,131.55
104,38,46,1,19.33
105,38,61,4,1057.75
106,38,90,3,550.88
107,38,77,4,110.23
108,39,78,4,209.31
109,40,64,1,201.36
110,40,30,4,455.74
111,40,93,2,987.33
112,40,20,2,277.83
113,40,5,3,719.57
114,41,5,3,719.57
115,41,75,3,882.53
116,42,77,2,110.23
117,43,91,3,379.54
118,43,99,2,1478.11
119,43,79,3,829.66
120,43,90,2,550.88
121,43,29,3,555.59
122,44,38,2,90.95
123,45,30,2,455.74
124,46,64,2,201.36
125,47,74,2,1039.11
126,47,13,4,858.62
127,48,71,3,858.21
128,49,87,4,1336.78
129,49,42,4,147.54
130,49,70,3,864.43
131,50,63,3,424.48
132,50,33,2,1381.39
133,50,36,4,713.4
134,50,94,2,663.29
135,51,15,3,220.24
136,51,6,3,109.59
137,51,95,4,1065.27
138,52,39,4,365.89
139,52,29,4,555.59
140,52,50,3,743.32
141,53,51,3,433.53
142,53,34,3,792.08
143,53,91,1,379.54
144,53,100,2,1177.69
145,54,19,4,1185.56
146,55,76,1,1420.86
147,55,63,4,424.48
148,56,17,4,818.73
149,56,34,4,792.08
150,56,16,4,875.71
151,56,39,2,365.89
152,57,47,4,1314.07
153,57,6,2,109.59
154,58,99,2,1478.11
155,58,30,2,455.74
156,58,43,2,1120.02
157,58,1,4,822.54
158,58,71,3,858.21
159,59,60,2,122.87
160,60,21,4,949.61
161,60,87,1,1336.78
162,61,99,4,1478.11
163,61,90,1,550.88
164,61,26,4,1461.16
165,62,71,2,858.21
166,62,52,2,131.55
167,62,99,4,1478.11
168,62,20,4,277.83
169,63,61,4,1057.75
170,63,57,4,1421.61
171,63,44,1,539.43
172,64,82,1,1021.18
173,64,41,4,513.61
174,64,95,1,1065.27
175,65,46,4,19.33
176,65,7,2,392.6
177,65,13,3,858.62
178,65,50,1,743.32
179,66,58,2,926.96
180,66,24,1,1458.23
181,66,55,2,230.04
182,66,42,2,147.54
183,67,89,4,594.16
184,67,29,4,555.59
185,67,22,3,373.88
186,67,75,4,882.53
187,67,19,3,1185.56
188,68,82,4,1021.18
189,68,25,4,624.58
190,68,77,1,110.23
191,68,51,3,433.53
192,69,12,2,293.4
193,70,65,1,192.03
194,71,80,2,886.4
195,72,16,1,875.71
196,72,90,3,550.88
197,72,42,3,147.54
198,73,96,4,314.66
199,73,72,2,876.35
200,73,14,1,955.7
201,73,73,4,1283.18
202,73,78,2,209.31
203,74,48,1,886.62
204,74,9,4,16.58
205,74,80,1,886.4
206,75,40,1,583.25
207,76,21,2,949.61
208,76,43,4,1120.02
209,76,82,3,1021.18
210,76,31,1,1462.02
211,76,91,2,379.54
212,77,58,1,926.96
213,78,65,1,192.03
214,79,38,3,90.95
215,79,20,2,277.83
216,79,5,4,719.57
217,79,56,3,76.91
218,80,91,4,379.54
219,80,15,4,220.24
220,80,2,1,262.26
221,81,28,4,48.98
222,82,9,2,16.58
223,82,58,2,926.96
224,82,63,2,424.48
225,82,1,2,822.54
226,83,80,2,886.4
227,83,34,1,792.08
228,84,54,3,1449.81
229,84,82,3,1021.18
230,85,56,4,76.91
231,85,39,1,365.89
232,85,12,4,293.4
233,86,37,1,802.02
234,86,55,2,230.04
235,86,1,2,822.54
236,86,10,1,687.59
237,86,32,3,271.93
238,87,29,1,555.59
239,87,55,2,230.04
240,87,89,3,594.16
241,87,42,3,147.54
242,88,44,1,539.43
243,88,24,4,1458.23
244,88,53,3,771.22
245,88,86,4,1381.52
246,88,47,1,1314.07
247,89,36,1,713.4
248,89,4,2,1334.63
249,89,49,4,1232.22
250,89,40,1,583.25
251,89,24,4,1458.23
252,90,82,1,1021.18
253,90,67,3,555.08
254,90,18,4,1086.85
255,90,93,2,987.33
256,91,39,3,365.89
257,91,62,4,885.44
258,91,82,3,1021.18
259,91,33,3,1381.39
260,91,70,4,864.43
261,92,59,3,445.2
262,92,27,2,915.9
263,92,20,3,277.83
264,92,29,4,555.59
265,92,60,2,122.87
266,93,52,3,131.55
267,93,40,2,583.25
268,93,93,1,987.33
269,94,68,2,1056.52
270,94,64,4,201.36
271,94,8,3,1075.83
272,95,2,1,262.26
273,95,93,1,987.33
274,95,33,2,1381.39
275,96,55,1,230.04
276,96,19,2,1185.56
277,97,7,4,392.6
278,97,1,4,822.54
279,98,21,4,949.61
280,98,80,1,886.4
281,98,31,4,1462.02
282,99,93,4,987.33
283,99,1,1,822.54
284,99,97,3,960.5
285,100,66,1,57.77
286,100,91,3,379.54
287,100,49,2,1232.22
288,100,88,2,777.55
289,101,88,4,777.55
290,101,48,4,886.62
291,102,56,4,76.91
292,102,65,3,192.03
293,102,72,1,876.35
294,102,47,4,1314.07
295,103,87,4,1336.78
296,103,71,2,858.21
297,103,5,4,719.57
298,103,54,1,1449.81
299,103,52,1,131.55
300,104,90,2,550.88
301,104,87,4,1336.78
302,104,52,2,131.55
303,104,53,2,771.22
304,105,50,1,743.32
305,105,35,2,1298.53
306,105,51,1,433.53
307,105,89,4,594.16
308,106,33,4,1381.39
309,106,29,3,555.59
310,106,19,2,1185.56
311,106,44,1,539.43
312,106,83,2,496.83
313,107,73,4,1283.18
314,108,59,3,445.2
315,108,64,1,201.36
316,108,47,1,1314.07
317,108,18,4,1086.85
318,109,51,1,433.53
319,110,44,4,539.43
320,110,68,3,1056.52
321,110,69,2,1286.9
322,111,13,3,858.62
323,111,11,4,523.95
324,111,98,3,149.52
325,111,1,4,822.54
326,112,55,3,230.04
