order_id,customer_id,order_status,order_created_at
1,87,created,2026-02-06 09:46:59.112692
2,453,delivered,2026-07-31 16:32:08.464459
3,100,created,2025-08-26 06:49:01.126581
4,98,delivered,2026-02-26 12:33:03.883863
5,179,cancelled,2025-08-14 05:54:05.307810
6,2,shipped,2025-09-08 04:40:19.167308
7,489,created,2026-04-04 10:33:50.959138
8,86,shipped,2025-12-11 04:44:40.362605
9,237,paid,2026-06-15 08:33:35.117655
10,110,shipped,2026-02-22 06:13:38.899845
11,173,cancelled,2026-04-21 20:29:51.125192
12,189,created,2025-10-07 02:06:46.118278
13,36,created,2026-07-17 05:28:14.884851
14,1,delivered,2026-02-28 00:32:44.671434
15,165,paid,2026-07-19 12:51:53.727175
16,282,paid,2026-05-17 13:50:41.725051
17,413,paid,2026-06-01 23:31:46.218298
18,245,cancelled,2025-10-08 05:35:53.466533
19,441,delivered,2026-03-16 15:43:41.830491
20,137,delivered,2026-07-02 06:53:57.885488
21,184,shipped,2025-09-01 07:38:48.619183
22,59,delivered,2026-02-12 13:59:14.068945
23,267,cancelled,2026-02-04 08:03:00.461375
24,443,cancelled,2025-11-09 10:35:03.425677
25,74,shipped,2025-08-24 10:29:45.063548
26,233,delivered,2025-11-02 10:25:22.908781
27,21,delivered,2025-11-25 20:43:37.146873
28,192,cancelled,2026-07-01 02:49:15.829367
29,118,created,2026-01-07 00:31:05.090167
30,125,shipped,2026-05-01 22:06:54.724736
31,100,created,2025-10-01 14:10:32.227930
32,214,cancelled,2026-06-15 09:16:10.594638
33,108,paid,2025-12-11 20:57:06.508715
34,312,shipped,2026-08-02 06:40:36.638923
35,38,paid,2026-05-24 00:20:03.152848
36,99,paid,2025-12-06 19:04:40.837347
37,13,delivered,2025-10-13 01:46:12.743577
38,149,shipped,2025-08-25 18:02:24.356884
39,254,delivered,2025-08-20 19:38:45.773907
40,160,created,2026-07-20 16:28:04.128144
41,49,delivered,2026-07-12 14:24:14.202669
42,231,cancelled,2026-05-20 11:26:33.345868
43,282,delivered,2025-08-25 09:30:01.403884
44,221,delivered,2026-04-14 11:55:38.840476
45,435,delivered,2025-12-23 21:33:04.032609
46,29,paid,2026-05-02 20:27:44.877707
47,336,shipped,2025-12-20 02:36:38.004580
48,68,paid,2026-05-09 01:53:14.359950
49,201,shipped,2026-04-05 15:05:18.810357
50,328,shipped,2026-04-10 01:37:58.994138
51,192,created,2026-05-15 07:30:51.598855
52,49,shipped,2026-06-10 18:39:00.978539
53,388,delivered,2025-08-30 15:26:26.155892
54,312,delivered,2026-07-24 17:58:13.180342
55,213,created,2025-10-28 19:38:46.806680
56,47,cancelled,2026-03-20 05:27:21.702269
57,19,paid,2026-05-14 11:43:40.825080
58,192,shipped,2025-08-13 20:17:47.056734
59,8,delivered,2026-01-02 07:44:20.254413
60,124,cancelled,2026-03-11 06:16:13.621855
61,279,paid,2025-12-29 23:50:18.288098
62,128,cancelled,2025-10-23 09:15:24.971939
63,103,created,2026-03-17 16:51:39.305221
64,128,cancelled,2025-11-02 01:41:48.182550
65,54,paid,2026-07-04 23:44:56.766817
66,343,paid,2025-11-14 10:45:58.219484
67,265,cancelled,2026-03-09 03:17:57.267798
68,391,paid,2025-09-11 01:18:52.318370
69,468,created,2026-06-09 01:54:22.493496
70,310,delivered,2026-05-10 06:35:47.292781
71,262,paid,2025-11-23 01:23:46.694488
72,292,shipped,2026-05-01 00:30:43.437462
73,54,created,2026-07-24 02:00:07.043235
74,344,delivered,2025-08-08 13:26:17.944747
75,113,cancelled,2026-06-19 05:19:10.928269
76,79,delivered,2026-04-17 05:06:40.001098
77,203,shipped,2025-08-29 18:13:27.867683
78,62,cancelled,2026-04-10 09:29:35.427024
79,489,cancelled,2025-11-23 23:46:51.465442
80,169,shipped,2025-09-14 07:03:08.077099
81,250,paid,2026-04-25 08:10:40.330697
82,156,shipped,2026-01-14 11:37:30.514284
83,54,paid,2026-03-04 17:02:34.459631
84,164,cancelled,2026-04-12 19:05:39.041857
85,112,created,2026-01-20 23:01:30.735399
86,374,cancelled,2026-02-26 14:41:34.124293
87,279,shipped,2026-06-11 23:01:43.155581
88,413,paid,2026-04-11 02:48:39.262162
89,358,paid,2026-05-23 09:26:25.337924
90,242,delivered,2026-07-15 10:27:23.217571
91,98,paid,2026-03-27 18:43:41.934917
92,406,delivered,2025-09-18 22:34:16.158648
93,256,delivered,2026-02-26 10:21:27.699863
94,477,paid,2026-06-15 11:43:01.403003
95,193,cancelled,2025-09-29 14:10:17.821991
96,240,cancelled,2025-10-03 11:19:57.363796
97,31,shipped,2025-08-27 18:32:52.495740
98,13,created,2025-08-16 19:38:33.689680
99,50,delivered,2025-11-12 14:05:03.833559
100,271,created,2026-04-29 05:12:52.531706
101,175,paid,2025-10-31 14:49:37.647744
102,238,delivered,2025-12-25 09:41:18.755225
103,269,cancelled,2026-03-31 18:24:20.971617
104,55,created,2026-03-09 11:48:29.120099
105,65,shipped,2026-02-28 01:59:24.117961
106,128,created,2026-01-09 06:19:11.663410
107,70,delivered,2025-11-22 09:15:44.760138
108,491,paid,2025-11-01 03:11:47.605684
109,8,shipped,2025-10-20 09:04:57.760221
110,337,paid,2025-11-21 09:40:33.119621
111,441,paid,2026-03-31 09:08:25.980648
112,313,shipped,2026-06-09 17:50:10.660421
113,449,delivered,2026-01-27 23:26:10.724252
114,188,shipped,2025-12-09 02:26:43.261647
115,127,delivered,2025-10-19 16:20:18.116031
116,445,cancelled,2026-01-21 09:37:55.648853
