payment_id,order_id,payment_method,payment_status,amount,paid_at
1,1,paypal,failed,4208.62,2026-05-01 15:49:19.798235
2,2,card,success,9907.4,2026-06-30 00:55:57.782694
3,3,cash,failed,233.2,2025-12-25 02:03:33.422308
4,4,card,success,8307.22,2026-05-04 15:20:04.018812
5,5,card,success,5525.41,2026-07-09 12:19:44.295467
6,6,bank_transfer,success,1324.9,2026-03-22 17:45:42.419033
7,7,cash,refunded,8401.3,2026-08-04 16:06:01.599700
8,8,card,failed,1124.96,2026-07-02 12:53:27.826997
9,9,card,failed,1571.08,2025-08-20 12:03:58.355617
10,10,paypal,refunded,5661.3,
11,11,card,failed,2303.76,2026-07-13 18:52:44.436572
12,12,card,refunded,4894.32,
13,13,card,success,2559.35,
14,14,cash,refunded,5655.61,2026-06-08 19:09:59.693851
15,15,bank_transfer,success,15377.47,2026-07-18 09:28:28.469256
16,16,cash,failed,4149.26,2026-06-20 21:54:35.359917
17,17,cash,refunded,12726.15,2026-05-08 23:19:09.497397
18,18,bank_transfer,success,5536.97,
19,19,cash,refunded,7674.93,2026-08-03 09:47:40.329920
20,20,bank_transfer,refunded,5879.32,2026-05-22 00:30:15.551586
21,21,bank_transfer,success,5129.61,
22,22,bank_transfer,failed,14171.93,2026-04-05 16:36:56.080085
23,23,card,refunded,3251.03,2026-06-02 23:12:45.929403
24,24,bank_transfer,failed,1422.72,
25,25,card,refunded,3212.54,2026-05-03 04:41:44.266521
26,26,cash,success,3734.95,2026-04-21 00:52:50.241258
27,27,paypal,success,4879.13,2026-07-12 07:37:15.380710
28,28,cash,refunded,6603.84,2026-03-28 14:44:02.019142
29,29,cash,success,330.95,2026-05-28 17:48:30.137593
30,30,paypal,refunded,907.13,
31,31,card,refunded,1872.0,2026-01-04 15:28:05.271420
32,32,cash,refunded,4234.59,2026-05-03 15:41:26.546849
33,33,paypal,success,2512.05,2026-04-24 11:30:18.988577
34,34,cash,failed,8096.32,2026-06-07 11:27:17.130632
35,35,cash,failed,7783.78,2026-03-16 04:28:40.615021
36,36,paypal,success,4226.41,
37,37,card,success,2656.32,2026-07-14 21:39:54.840476
38,38,bank_transfer,success,2951.88,
39,39,card,refunded,2463.4,2026-05-12 16:59:21.323377
40,40,bank_transfer,success,4145.09,2026-07-05 21:11:40.956913
41,41,bank_transfer,refunded,6450.73,
